,authors,description,genre,highlights,images,name
8,"Siddharth Mittal,","The revised edition of IAS Mains General Studies Chapterwise Solved Papers has been designed to help aspirants get an insight into the Civil Services (Mains) Examination. The book dwells at the overall structure of the Civil Services (Mains) Examination by providing detailed solutions of the last 20 years’ General Studies Papers. Everything under the sun is General Studies and Arihant has developed this book to meet the demands of General Studies Paper.The present revised edition of IAS Mains General Studies contains Chapterwise last 20 years’ (1997-2016) Solved Papers to help aspirants in smart and thorough preparation as previous years’ papers are the only authentic source of information about the nature of the examination and the types of questions asked in previous years’ examinations. The book has been divided into four papers as per the latest examination pattern, where each paper has been segregated in topics as per the latest syllabus of the Civil Services (Mains) Examination 2017. Special emphasis has been given to the questions asked in last four years’ (2016-2013) according to the changing pattern of the examination. Also, all the old questions from 1997-2012 have been updated with latest data and findings.As the book contains ample number of previous years’ papers with detailed and comprehensive solutions, it for sure will act as an overall best success mantra for cracking civil services (Mains) examination.",Educational,"Language: English,Binding: Paperback,Publisher: Arihant Publications,Genre: Entrance Exams Preparation,ISBN: 9789311127095, 9311127094,Edition: 2017,Pages: 584,",https://rukminim1.flixcart.com/image/832/832/j3er9u80/book/0/9/5/ias-mains-chapterwise-solved-papers-general-studies-original-imaeujrkak8xmrt8.jpeg?q=70,"IAS Mains Chapterwise Solved Papers General Studies(English, Paperback, Siddharth Mittal)"
9,"S. P. Bakshi,","
Objective General English (English) 2nd Edition is designed to help any candidate aspiring to crack a competitive exam. The book prepares a candidate with his skills in English which is a very important part in all competitive examination. The book consists of four parts and provides the learner with a competency in all the important aspects of English like tenses, modals, clauses, articles, parts of speech and everything else that a candidate needs to know.

About Arihant Publishers

	Arihant Publishers began with publishing books for the IIT JEE, the entrance examination for engineering in India. Today, it publishes books for entrance examinations, competitive examinations and recruitment examinations in India. Arihant Publishers is known and trusted for its guides for various examinations, some of which include IAS, CDS, PCS, MAT, GATE/PSU/IES and Bank PO. Arihant has been publishing books for over a decade and has recently ventured into the field of e-learning. Some of its other books include Verbal Reasoning by B. S. Sijwali and Indu Sijwali, A New Approach to Reasoning, Verbal and Non-Verbal by B.S. Sijwali and Indu Sijwali and Chapterwise and Topicwise Physics Previous Years’ Engineering Entrances (Questions with Solutions).
",Educational,"Language: English,Binding: Paperback,Publisher: Arihant,ISBN: 9789351768449, 9351768449,Edition: Single,Pages: 755,",https://rukminim1.flixcart.com/image/832/832/book/4/4/9/objective-general-english-original-imae2uudzg2nvtax.jpeg?q=70,"Objective General English Single Edition(English, Paperback, S. P. Bakshi)"
10,"M Laxmikanth,","
Published in the year 2013, Indian Polity For Civil Services Examinations is a book that provides the readers with insight into important topics that need to be understood by students to clear the civil services examination.

Summary Of The Book

Indian Polity For Civil Services Examinations has been designed to meet the requirements of students preparing for civil service examinations. This book covers the entire syllabus, which civil service aspirants need to understand.

	This book has been divided into 11 parts, which include Constitutional Framework, Central Government, System of Government, State Government, Constitutional Bodies, Union Territories And Special Areas, Local Government, Non-Constitutional Bodies, Other Constitutional Dimensions, Political Dynamics, and Working of the Constitution.

	The first part of the book deals with the historical background of the constitution, and throws light on fundamental rights, fundamental duties, citizenship, and features of the constitution. The second part deals with the parliamentary system, emergency provisions, special provision for certain states, inter-state relations, and the current status of Jammu & Kashmir. The third part provides insight into the central government by explaining the roles of the President, Prime Minister, and Vice-President. In the fourth part, students are provided detailed information on the state government, explaining the role of the Chief Minister, Governor, state council of ministers, subordinate courts, and high court.

	In the fifth part, the readers are provided insight into the Panchayati Raj as well as urban local governments. The sixth part deals with union territories, and scheduled, and tribal areas. In the seventh part, the author throws light on the constitutional bodies, which include the finance commission, election commission, advocate general of the state, special officer for linguistic minorities, national commission for SCs, national commission for STs, and union public service commission.

	The eighth part of this book throws light on the planning commission, national human rights commission, state human rights commission, lokpal, and lokayuktas, central vigilance commission, and state information commission. In the ninth part, the readers are provided insight into public services, anti-defection law, tribunals, and special provisions for ST’s, Anglo-Indian’s, minorities, and BC’s. In the tenth part, the readers are also provided insight into national integration, foreign policy, pressure groups, political parties, and elections. The eleventh part deals with the national commission’s plan to examine the constitution’s working.

	In this third edition, the author also provides 7 appendices at the end of the book. The appendices cover topics such as table of precedence, definitions under the constitution, constitutional amendments at a glance, subjects of union, state, and concurrent lists, articles of the constitution, and ministries/departments of the central government. This edition of Indian Polity For Civil Services also comes with updated UPSC preliminary, and main question papers as well.

About M. Laxmikanth

	M. Laxmikanth is an author, and trainer.

	Apart from this book, Laxmikanth has written Governance in India for UPSC Civil Services Preliminary Examination, Indian Polity, and Public Administration.

	Laxmikanth completed his master’s degree from Osmania University in 1989. Following that, he started his own coaching academy, Laxmikanth’s IAS. Laxmikanth has a great deal of experience coaching civil service aspirants.
",Educational,"Language: English,Binding: Paperback,Publisher: Mcgraw Hill Education,ISBN: 9781259064128, 1259064123,Edition: 4, 2013,Pages: 696,",https://rukminim1.flixcart.com/image/832/832/book/1/2/8/indian-polity-original-imadmmtekmrmbty7.jpeg?q=70,"Indian Polity 4 Edition(English, Paperback, M Laxmikanth)"
11,"Stephen Hawking,","
Brief History Of Time: From The Big Bang To Black Holes is a book that provides the readers with insights into the creation of the universe in a manner that is easy to comprehend for people who are not scientists.

Summary Of The Book

Brief History Of Time: From The Big Bang To Black Holes is a book written by one of the most renowned theoretical physicists of all time, Stephen Hawking, who aims to help people understand the creation of the universe. People often wonder if the universe is infinite, and where it came from, and if it will ever end. In this book, Hawking answers these questions, and much more. The book starts off by providing the readers with a review of the theories proposed by Newton and Einstein.

	Through the course of this book, Hawking delves into a number of subjects in the field of cosmology, which include the Big Bang, light cones, black holes, and the strong theory. The goal of this book is to provide the readers with an overview of the subject. However, Hawking also touches on some complex mathematics, which is unusual for science books. The readers are also provided with information on the possibility of time travelling and worm holes. Hawking has only included a single equation in this book, which is E=mc2, and explains the chances of having a universe void of a quantum singularity at the beginning of time.

	The concepts present in this book are extremely vast, leaving the readers with a sense of admiration of Hawking’s deep understanding of cosmology. Brief History Of Time: From The Big Bang To Black Holes was initially published in the year 1988, and has been a bestseller ever since, selling more than 10 million copies. This book was also present in the Sunday Times best-seller list for a record-breaking 237 weeks.

About Stephen Hawking

	Stephen Hawking is a well-known theoretical physicist, author, and cosmologist. Some of Hawking’s books include The Grand Design, The Universe in a Nutshell, George’s Secret Key To The Universe, George’s Cosmic Treasure Hunt, and Black Holes And Baby Universes And Other Essays.

	Hawking was born on the 8th of January, 1942, in Oxford, England. He completed his schooling from St. Albans School, Hertfordshire. Hawking was awarded a first-class BA honors degree from Oxford University, and went to finish his postgraduate degree from Trinity Hall, London. He also received a research fellowship, and completed his D.Phil. from Gonville and Caius College. Hawking currently serves at the University of Cambridge, holding the position of the Director of Research at the Centre for Theoretical Cosmology. From 1979 to 2009, Hawking worked at the University of Cambridge, holding the position of the Lucasian Professor of Mathematics. He is also a part of the Royal Society of Arts and the Pontifical Academy of Sciences. He has also been presented with the Wolf Prize, Prince of Asturias Award, and the Albert Einstein Award. He has also received the Presidential Medal of Freedom, which is the highest civilian honour in the US. Hawking has been married twice, first to Jane Wilde and later to Elaine Mason.
",Educational,"Language: English,Binding: Paperback,Publisher: Transworld,ISBN: 9780857501004, 0857501003,Edition: 2011,Pages: 256,","rukminim1.flixcart.com/image/128/128/book/0/0/4/a-brief-history-of-time-original-imadhfkxxbgrhn8f.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/0/0/4/a-brief-history-of-time-original-imadxfqteg6cgv2b.jpeg?q=70
","A Brief History Of Time(English, Paperback, Stephen Hawking)"
12,"M. S. Shetty,","
Concrete Technology: Theory And Practice is a comprehensive guide on concrete, one that is used by students, architects and practicing and consulting engineers alike.

Summary Of The Book

Concrete Technology: Theory and Practice was first published in 1982, when it was mentioned in the book that India was producing 22 million tons of cement. In 2004, this amount became 120 million tons, and today, India is second only to China in the production of cement.

	These statistics are emphasised, as well as the need to understand concrete and its workings, in Concrete Technology: Theory and Practice. The seventh edition has taken into account the changes that have been occurring in the constantly dynamic and still rather nascent industry of concrete.

	Chemical admixtures have become common practice, from contractors in urban areas to rural villages. Different admixtures that go into the making of high-performance concrete, like PC admixtures as well as mineral admixtures are covered extensively in Concrete Technology: Theory and Practice.

	With the increase in infrastructural projects in India involving bridges, roads and flyovers, it has become necessary to adopt mass concreting practices. These techniques are covered elaborately in this book. Ready-mixed concrete, and its transport, pumping and placement have also been discussed at length.

	Recently, the code of practice for plain and reinforced concrete introduced IS 456:2000, a revision which rendered the previous guidelines in concrete mix design outdated. This revision has also been taken into account in Concrete Technology: Theory and Practice, along with the most recent durability tests such as Water Penetration Tests and Rapid Chloride Permeability Tests, according to the ASTM and DIN standards.

	Other topics such as creep and shrinkage in concrete, the use of water, SCC or Self Compacting Concrete, fresh concrete and the strength of concrete are discussed in this book.

About M. S. Shetty

	Professor M. S. Shetty is a retired civil engineer, who has over 50 years of professional experience, having worked as a site engineer, researcher, professor, consultant and post-graduate guide.

	After retirement, he has conducted over a hundred training programs on the different aspects of Concrete Technology. These programs have been attended by site engineers from large construction companies as well as private contractors and employees from the central and state governments departments. He was previously the Vice President of Indian Concrete Institute.
",Educational,"Language: English,Binding: Paperback,Publisher: S. CHAND & COMPANY LTD-NEW DELHI,ISBN: 9788121900034, 8121900034,Edition: 2006,Pages: 656,",https://rukminim1.flixcart.com/image/832/832/book/0/3/4/concrete-technology-theory-and-practice-original-imaejnkeu6gchbqz.jpeg?q=70,"Concrete Technology Theory and Practice(English, Paperback, M. S. Shetty)"
13,"Yashavant Kanetkar,","
Let Us C is a popular introductory book to the world of C programming. Its simple and approachable style has kept it a popular resource for newbies for many years.

Summary Of The Book

	With the expanding horizon of digital technology, there is also an increasing need for software professionals with a good command of a variety of programming languages. The C language is one of the basic skill sets in a programmer’s portfolio.

	There has been an explosion in the number of programming languages and different development platforms. However, the C programming language has retained its popularity across the decades.

Let Us C is a great resource from which one can learn C programming. It does not assume any previous knowledge of C or even the basics of programming. It covers everything from basic programming concepts and fundamental C programming constructs.

	The book explains basic concepts like data types and control structures, decision control structure and loops, creating functions and using the standard C library. It also covers C preprocessor directives, handling strings, and error handling.

	It also discusses C programming under different environments like Windows and Linux. The book uses a lot of programming examples to help the reader gain a deeper understanding of the various C features.

	This book also aims to help prepare readers not just for the theoretical exams, but also the practical ones. It builds their C programming skills. It also helps in getting through job interviews. There is a separate section in the book that discusses the most Frequently Asked Questions in job interviews.

	This is the 13th edition of the book and it covers all levels of C programming, from basic to intermediate and advanced levels of expertise. With clear concept coverage, simple instructions and many illustrative examples, Let Us C teaches programming and C language features effectively and easily.

About Yashavant Kanetkar

	Yashavant Kanetkar is a popular writer of books on computer science and programming.

	Other books by Kanetkar are C Pearls, Exploring C, C#.NET Fundas, Direct X Game Programming Fundas, Test Your C Skill, and Data Structure Through C.

	Yashavant Kanetkar earned his BE from VJTI, Mumbai, and has an MTech from IIT, Kanpur. He is the author of many books on programming languages including C, Java and C#, and technologies like COM and DirectX. His books have been highly popular among software students and professionals. Kanetkar has been presented with awards like MVP and Best .Net Technical Contributor by Microsoft.
",Educational,"Language: English,Binding: Paperback,Publisher: Bpb Publications,ISBN: 9788183331630, 8183331637,Edition: 15, 2016,Pages: 572,",https://rukminim1.flixcart.com/image/832/832/j7asfbk0-1/book/6/3/0/let-us-c-original-imaexkughrvfch5x.jpeg?q=70,"Let Us C 15 Edition(English, Paperback, Yashavant Kanetkar)"
14,"Arihant Experts,","The Central Board of Secondary Education (CBSE) conducts the National Eligibility Test (NET) twice a year to determine the eligibility for lectureship and for award of Junior Research Fellowship (JRF). The examination is conducted on the lines of the examination pattern issued by the UGC for General Paper-1.

The present book for General Paper-1 UGC NET/JRF/SLET has been divided into 10 Units namely Teaching Aptitude, Research Aptitude, Reading Comprehension, Communication, Reasoning (Including Mathematical), Logical Reasoning, Data Interpretation, Information & Communication Technology, People & Environment and Higher Education System: Governance, Polity and Administration, each sub-divided into number of chapters as per the syllabi of the UGC NET General Paper-1.This book is designed according to the syllabi and the latest pattern of the UGC NET General Paper-1. More than 4000 previous years’ objective questions from 2008 to 2017 have been covered chapterwise in the book. The book also contains last six years’ (2012-2016) Solved Papers of UGC NET General Paper-1 to help aspirants get an insight into the recent examination pattern and the types of questions asked therein. The previous years’ examination questions have been solved comprehensively to ensure comprehensive and in-depth knowledge of the concepts covered under the syllabi of UGC NET General Paper-1.Also two model sets for UGC NET General Paper-1 have been provided at the end of the book to help aspirants revise the concepts and self analyse the level of preparation for the upcoming examination. This book is equally useful for various State Eligibility Tests as well.

As the book has been designed according to the latest examination pattern of upcoming UGC General Paper-1 2017, it for sure will help the aspirants score high in the upcoming examination.",Educational,"Language: English,Binding: Paperback,Publisher: Arihant Publication,Genre: Entrance Exams Preparation,ISBN: 9789311124209, 9311124206,Edition: 2017,Pages: 581,",https://rukminim1.flixcart.com/image/832/832/book/2/0/9/ugc-net-jrf-slet-general-paper-1-teaching-research-aptitude-original-imaerb6y8qwxfyn6.jpeg?q=70,"UGC NET/JRF/SLET General Paper-1 Teaching & Research Aptitude(English, Paperback, Arihant Experts)"
15,"J. K. Gupta R. S. Khurmi,","
Civil Engineering: Conventional And Objective Type Reprint 2006 Edition is authored by J.K.Gupta and K.S.Khurmi. It is useful for students doing their B.Sc. The book is essential for candidates applying for their Civil Engineering exam.

About the Authors

J.K.Gupta and K.S.Khurmi are authors by profession. They have authored and co-authored books like History of Sirsa Town (16 Plates), Mechanical Engineering, A Textbook of Machine Design 14th Edition, A Textbook Of Refrigeration And Air Conditioning 1st Edition, A Textbook Of Thermal Engineering: [SI Units] 15th Edition and A Textbook Of Workshop Technology : Manufacturing Processes 6th Edition.
",Educational,"Language: English,Binding: Paperback,Publisher: S. Chand,ISBN: 9788121926058, 812192605X,Edition: revised edition, 2006,Pages: 672,",https://rukminim1.flixcart.com/image/832/832/book/0/5/8/civil-engineering-original-imadmfg8cp9xhfsg.jpeg?q=70,"Civil Engineering (Conventional and Objective Type) revised edition Edition(English, Paperback, J. K. Gupta R. S. Khurmi)"
16,"Ramesh Singh,","The Revised and Updated seventh edition of the Indian Economy is unique as it assess the economic impact of the new government at the Center, compares its functioning with that of earlier government and discusses the long due fiscal and economic changes brought about by the new government. The book, already a best seller, is a must read for civil services aspirants. It is also widely read by those having a passion for economics and an interest in the evalution, changes, progress and potentioal of the Indian Economy.",Educational,"Language: English,Binding: Paperback,Publisher: Mcgraw Hill Education,ISBN: 9789339221294, 933922129X,Edition: 7th Edition, 2015,Pages: 824,",https://rukminim1.flixcart.com/image/832/832/book/2/9/4/indian-economy-original-imae8f37frzejrhq.jpeg?q=70,"Indian Economy 7th  Edition(English, Paperback, Ramesh Singh)"
17,"Arihant Experts,","Basic awareness about computers is a must if we wish to lead a successful personal and professional life. In view of the upcoming Bank PO and Clerk examinations like IBPS PO & Clerk, SBI PO & Clerk, LIC AAO, Railway Recruitment Exams, etc Arihant has come up with a revised edition of the highly popular Computer Awareness which is equally useful for IBPS, SBI (Bank PO & Clerk) and other banking& recruitment entrances. The book has been revised keeping in mind the recent pattern of banking examinations.

The book on computer awareness has been divided into 14 Chapters namely Introduction to Computer, Computer Architecture, Input & Output Devices, Computer Hardware, Computer Memory, Data Representation, Computer Software, Operating System (OS), Programming Concepts, Microsoft Windows, Microsoft Office, Database Concepts, Data Communication & Networking, Internet & Its Services and Computer Security, each containing complete description of essential topics for better understanding.Important Points have been covered in the boxes given in between the text.Practice Questions have been given after each chapter. Also detailed synopsis along with number of previous years’ solved questions has been given in the book.Some facts called Tit-Bits related to the appropriate topic are included with each chapter. The necessary study material well supported by definitions, examples, figures, tables, flow charts, etc. has been provided in the book. ComputingGlossary has been given at the end of all the chapters to help students understand the meaning of various computing terms along with abbreviations used in the book. The book also contains five Practice Sets with their objective answers for self analysis and thorough practice.",Educational,"Language: English,Binding: Paperback,Publisher: Arihant Publication,Genre: Academic & Test Preparation,ISBN: 9789311121260, 9311121266,Edition: 2017,Pages: 198,",https://rukminim1.flixcart.com/image/832/832/book/2/6/0/objective-computer-awareness-original-imaeqkc29vxksycc.jpeg?q=70,"Computer Awareness(English, Paperback, Arihant Experts)"
18,"Konar H,","
D.C. Dutta's Textbook of Gynaecology 6th Edition, authored by Hiralal Konar, is a useful text for medical student specializing in Gynaecology and Obstetrics.

About NCBA

	NCBA stands for New Central Book Agency. They have been popular publishers of books in Medicine, Sciences, Technology, Commerce and Humanities since the year 1921. They welcome publishers for translation and co-publishing rights for their publication. Their books have already been translated and co-published in China. NCBA exports have a strong base in Indian publishing and help buyers select their requirement in any subject of their choice. Some books published by them are Textbook of Obstetrics, Surveying and Levelling Part-1, Classical Mechanics, A Textbook of Homoeopathic Pharmacy, and Fundamentals of Biochemistry.
",Educational,"Binding: Paperback,Publisher: NEW CENTRAL BOOK AGENCY-KOLKATA,ISBN: 9788173818042, 8173818045,Edition: 6,",https://rukminim1.flixcart.com/image/832/832/book/0/4/2/d-c-dutta-s-textbook-of-gynaecology-pb-original-imadugzzhqrhbtwm.jpeg?q=70,"D.C. Dutta's Textbook of Gynaecology 6 Edition(Paperback, Konar H)"
19,"Arun Sharma,","How to Prepare for Data Interpretation by renowned author Arun Sharma who is an acknowledged CAT trainer. It is essential for aspirants to develop skills in DI to the level where they can comfortably attempt questions based on this topic. It gives clear guidance on how to attempt the various types of questions in less time and with more efficiency. This book is a must-have for aspirants appearing for any and all MBA entrance examinations as it includes the latest pattern of questions presently asked in the examination.About the AuthorArun Sharma is a post graduate from the prestigious Indian Institute of Management, Bangalore. He has been training corporate house and CAT aspirants since 1996 and has personally trained over a thousand students into the IIMs and other top B Schools. Besides, he holds the unique distinction of clearing the CAT 16 times in a row, with a score of 99.99 percentile in CAT 2008.With McGraw-Hill, he has a number of best-sellers to his credit. These are:How to Prepare for Data Interpretation for the CATHow to Prepare for Quantitative Aptitude for the CATHow to Prepare for Verbal ability and Reading Comprehension for the CAT",Educational,"Language: English,Binding: Paperback,Publisher: McGraw Hill Education,Genre: Entrance Exams Preparation,ISBN: 9789352606931, 9352606930,Edition: Fifth, 2017,Pages: 792,",https://rukminim1.flixcart.com/image/832/832/j6qs9e80/book/9/3/1/how-to-prepare-for-data-interpretation-for-common-admission-test-original-imaevqy3tfrgu29e.jpeg?q=70,"How to Prepare for Data Interpretation for Common Admission Test & Other Management Examinations Fifth Edition(English, Paperback, Arun Sharma)"
